FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-21 0 GSO-65 OT 0 0.9306 0.0575 0.0119 0.0407 -1 0.721372 0.2919 1.5
0 GSO-21 0 GSO-128 OT 0 1.0 0.0 0.0 0.0 -1 0.678436 0.2919 1.5
0 GSO-21 0 GSO-116 OT 0 0.8908 0.0405 0.0687 0.0889 -1 0.735869 0.0929 1.0
0 GSO-21 0 GSO-92 OT 0 1.0 0.0 0.0 0.0 -1 0.732713 0.0929 1.0
0 GSO-21 0 GSO-139 OT 0 1.0 0.0 0.0 0.0 -1 0.708677 0.0502 0.875
0 GSO-21 0 GSO-123 OT 0 1.0 0.0 0.0 0.0 -1 0.708507 0.0502 0.875
0 GSO-21 0 GSO-97 OT 0 1.0 0.0 0.0 0.0 -1 0.698265 0.0142 0.6667
0 GSO-21 0 GSO-138 OT 0 0.8983 0.0 0.1017 0.1017 -1 0.737949 0.5 2.0
0 GSO-21 0 GSO-31 OT 0 1.0 0.0 0.0 0.0 -1 0.674712 0.0502 0.875
0 GSO-21 0 GSO-15 OT 0 1.0 0.0 0.0 0.0 -1 0.714063 0.2919 1.5
0 GSO-21 0 GSO-59 OT 0 1.0 0.0 0.0 0.0 -1 0.706041 0.0001 0.25
0 GSO-21 0 GSO-58 OT 0 1.0 0.0 0.0 0.0 -1 0.686977 0.1367 1.1429
0 GSO-21 0 GSO-12 OT 0 1.0 0.0 0.0 0.0 -1 0.69741 0.7081 2.75
0 GSO-21 0 GSO-26 OT 0 1.0 0.0 0.0 0.0 -1 0.707119 0.0142 0.6667
0 GSO-21 0 GSO-86 OT 0 1.0 0.0 0.0 0.0 -1 0.712783 0.1367 1.1429
0 GSO-21 0 GSO-94 OT 0 1.0 0.0 0.0 0.0 -1 0.691001 0.1367 1.1429
0 GSO-21 0 GSO-19 OT 0 1.0 0.0 0.0 0.0 -1 0.68312 0.1367 1.1429
0 GSO-21 0 GSO-63 OT 0 1.0 0.0 0.0 0.0 -1 0.694465 0.1367 1.1429
0 GSO-106 0 GSO-74 OT 0 0.9033 0.0 0.0967 0.0967 -1 0.73831 0.5 2.0
0 GSO-106 0 GSO-7 OT 0 1.0 0.0 0.0 0.0 -1 0.710338 0.0142 0.6667
0 GSO-106 0 GSO-136 OT 0 1.0 0.0 0.0 0.0 -1 0.704948 0.0142 0.6667
0 GSO-106 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.713592 0.1367 1.1429
0 GSO-106 0 GSO-38 OT 0 1.0 0.0 0.0 0.0 -1 0.692614 0.0142 0.6667
0 GSO-106 0 GSO-111 OT 0 0.9147 0.0267 0.0586 0.0719 -1 0.731434 0.1367 1.1429
0 GSO-106 0 GSO-20 OT 0 1.0 0.0 0.0 0.0 -1 0.728226 0.0502 0.875
0 GSO-106 0 GSO-28 OT 0 0.9419 0.0581 0.0 0.0291 -1 0.717014 0.0502 0.875
0 GSO-106 0 GSO-115 OT 0 1.0 0.0 0.0 0.0 -1 0.730224 0.0502 0.875
0 GSO-106 0 GSO-125 OT 0 1.0 0.0 0.0 0.0 -1 0.674267 0.0142 0.6667
0 GSO-106 0 GSO-87 OT 0 1.0 0.0 0.0 0.0 -1 0.708024 0.0142 0.6667
0 GSO-106 0 GSO-120 OT 0 1.0 0.0 0.0 0.0 -1 0.726295 0.2919 1.5
0 GSO-106 0 GSO-141 OT 0 1.0 0.0 0.0 0.0 -1 0.718851 0.2919 1.5
0 GSO-106 0 GSO-2 OT 0 1.0 0.0 0.0 0.0 -1 0.683952 0.0031 0.5
0 GSO-106 0 GSO-45 OT 0 1.0 0.0 0.0 0.0 -1 0.66471 0.0142 0.6667
0 GSO-106 0 GSO-18 OT 0 1.0 0.0 0.0 0.0 -1 0.691561 0.0502 0.875
0 GSO-106 0 GSO-22 OT 0 1.0 0.0 0.0 0.0 -1 0.712197 0.0142 0.6667
0 GSO-106 0 GSO-78 OT 0 1.0 0.0 0.0 0.0 -1 0.722093 0.0031 0.5
0 GSO-106 0 GSO-65 OT 0 1.0 0.0 0.0 0.0 -1 0.703357 0.0142 0.6667
0 GSO-106 0 GSO-128 OT 0 1.0 0.0 0.0 0.0 -1 0.693252 0.0031 0.5
