FID IID SEX
0 GSO-63 M
0 GSO-19 M
0 GSO-94 M
0 GSO-86 M
0 GSO-12 M
0 GSO-58 F
0 GSO-15 F
0 GSO-26 F
0 GSO-59 F
0 GSO-31 M
0 GSO-138 M
0 GSO-97 M
0 GSO-123 M
0 GSO-139 M
0 GSO-92 M
0 GSO-116 F
0 GSO-128 M
0 GSO-65 F
0 GSO-78 M
0 GSO-22 F
0 GSO-18 M
0 GSO-45 F
0 GSO-2 M
0 GSO-141 F
0 GSO-120 M
0 GSO-87 F
0 GSO-125 M
0 GSO-115 F
0 GSO-28 M
0 GSO-20 F
0 GSO-111 M
0 GSO-38 M
0 GSO-42 F
0 GSO-136 F
0 GSO-7 F
0 GSO-106 F
0 GSO-74 F
0 GSO-21 F
0 GSO-85 F
